 ; ; ; ; ; 
"Поз.";"Обозначение";"Наименование";"Кол.";"Масса ед., кг";"Приме- чание"
 ; ;"РСм2"; ; ; 
 ; ;"Сборочные единицы"; ; ; 
"КР2";"22005/2-1-КЖ.И-КР2";"Каркас КР2";"12";"12,84"; 
 ; ; ; ; ; 
 ; ;"Детали"; ; ; 
"12-5650"; ;"12 S500 СТБ 1704-2012, L=5650";"116";"5,02"; 
"Д1*"; ;"12 S500 СТБ 1704-2012, L=2835";"116";"2,52"; 
 ; ; ; ; ; 
 ; ;"Материалы"; ; ; 
 ; ;" Бетон класса С20/25, W4, F100"; ; ;"19,50м3/"
 ; ;"на сульфатостойком цементе"; ; ; 
 ; ;" Бетон класса С8/10 (подготовка)"; ; ;"3,48м3/"
 ; ; ; ; ; 
 ; ;"РСм3"; ; ; 
 ; ;"Сборочные единицы"; ; ; 
"КР2";"22005/2-1-КЖ.И-КР2";"Каркас КР2";"6";"12,84"; 
 ; ; ; ; ; 
 ; ;"Детали"; ; ; 
"12-3050"; ;"12 S500 СТБ 1704-2012, L=3050";"58";"2,71"; 
"12-5650"; ;"12 S500 СТБ 1704-2012, L=5650";"32";"5,02"; 
"Д1*"; ;"12 S500 СТБ 1704-2012, L=2835";"81";"2,52"; 
 ; ; ; ; ; 
 ; ;"Материалы"; ; ; 
 ; ;" Бетон класса С20/25, W4, F100"; ; ;"10,60м3/"
 ; ;"на сульфатостойком цементе"; ; ; 
 ; ;" Бетон класса С8/10 (подготовка)"; ; ;"1,95м3/"
